Tick,S0,S1,S2,S3,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz
3032,196,303,121,292,-1.800781,1.996094,0.652344,1.464844,-178.710953,-54.199223,0.765625,-0.328125,-0.117188
3033,194,303,117,293,-1.371094,1.996094,-1.203125,-250.000015,51.757816,-250.000015,0.75,-0.289063,-0.125
3034,191,307,100,293,0.230469,1.996094,-1.070313,-199.707047,140.625015,-240.23439,0.703125,-0.234375,-0.148438
3035,180,306,96,290,1.140625,-0.953125,-0.382813,-193.35939,43.457035,-169.92189,0.703125,-0.234375,-0.148438
3036,168,288,99,283,0.128906,0.292969,0.304688,-166.992203,41.50391,-91.796883,0.671875,-0.226563,-0.195313
3037,160,257,103,258,0.726563,0.652344,0.25,-140.136734,-6.835938,-67.38282,0.664063,-0.226563,-0.21875
3038,155,234,112,231,0.261719,0.6875,0.46875,-40.039066,-3.417969,-53.22266,0.65625,-0.226563,-0.226563
3039,150,222,118,209,0.546875,1.09375,0.082031,-19.042971,-6.835938,-43.457035,0.648438,-0.21875,-0.226563
3040,152,215,121,193,0.410156,0.867188,0.332031,9.277345,21.484377,-39.550785,0.648438,-0.21875,-0.226563
3041,153,215,123,184,1.164063,1.710938,0.441406,62.500004,47.851566,-63.964848,0.640625,-0.21875,-0.234375
3042,190,243,121,208,1.289063,1.996094,0.039063,82.031258,35.156254,-158.20314,0.625,-0.195313,-0.234375
3043,177,239,123,190,1.464844,1.871094,0.234375,82.031258,1.953125,-250.000015,0.59375,-0.164063,-0.210938
3044,189,250,122,201,0.503906,1.996094,0.699219,13.671876,11.718751,-250.000015,0.539063,-0.132813,-0.203125
3045,208,271,123,241,-0.878906,1.910156,0.316406,-13.183595,-23.925783,-250.000015,0.445313,-0.109375,-0.21875
3046,197,276,122,264,-0.011719,1.996094,0.304688,127.441414,-120.605476,-250.000015,0.445313,-0.109375,-0.21875
